"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-01","50","55","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-02","52","60","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-03","55","61","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-04","52","55","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-05","51","59","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-06","52","58","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-07","56","65","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-08","60","65","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-09","55","71","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-10","57","65","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-11","56","66","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-12","58","64","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-13","54","61","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-14","51","62","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-15","51","57","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-16","50","60","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-17","50","56","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-18","51","55","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-19","48","54","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-20","50","61","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-21","51","60","40"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-22","49","62","40"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-23","55","67","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-24","53","60","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-25","53","58","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-26","51","57","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-27","49","60","39"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-28","49","58","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-29","52","55","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-30","50","53","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-01-31","50","56","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-01","55","62","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-02","59","61","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-03","59","62","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-04","57","62","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-05","49","56","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-06","51","63","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-07","54","58","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-08","49","57","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-09","49","57","39"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-10","48","57","38"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-11","48","54","40"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-12","48","53","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-13","55","60","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-14","55","57","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-15","49","57","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-16","51","59","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-17","54","59","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-18","52","59","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-19","54","64","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-20","54","65","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-21","54","66","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-22","52","64","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-23","54","62","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-24","56","64","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-25","55","64","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-26","53","69","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-27","58","71","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-02-28","59","70","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-01","54","59","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-02","53","57","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-03","51","57","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-04","52","60","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-05","54","56","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-06","51","58","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-07","52","64","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-08","52","63","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-09","52","61","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-10","52","66","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-11","55","64","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-12","55","61","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-13","49","54","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-14","50","58","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-15","53","61","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-16","53","60","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-17","53","58","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-18","50","59","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-19","51","60","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-20","52","60","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-21","53","61","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-22","55","61","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-23","55","66","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-24","57","76","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-25","66","82","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-26","60","63","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-27","58","63","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-28","56","61","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-29","53","59","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-30","56","65","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-03-31","57","61","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-01","52","57","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-02","51","59","44"
