"STATION","NAME","DATE","TMAX","TMIN"
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-01",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-02",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-03",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-04",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-05",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-06",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-07",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-08",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-09",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-10",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-11",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-12",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-13",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-14",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-15",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-16",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-17",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-18",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-19",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-20",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-21",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-22",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-23",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-24",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-25",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-26",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-27",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-28",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-29",,
"US1TNDV0196","NASHVILLE 2.7 ENE, TN US","2025-01-30",,
